Dish Name,Category,Serving,Quantity,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g)
Hot tea (Garam Chai),Beverages,-,100g,16.14,2.58,0.39,0.53
Instant coffee,Beverages,-,100g,23.16,3.65,0.64,0.75
Espreso coffee,Beverages,-,100g,51.54,6.62,1.75,2.14
Iced tea,Beverages,-,100g,10.34,2.7,0.03,0.01
Raw mango drink (Aam panna),Beverages,-,100g,35.92,9.05,0.16,0.03
Fruit Punch (with fresh juices),Beverages,-,100g,36.12,9.38,0.14,0.03
Fruit Punch (with squashes),Beverages,-,100g,23.13,5.99,0.07,0.02
Lemonade,Beverages,-,100g,20.8,5.48,0.03,0.01
Lem-o-gin,Beverages,-,100g,21.52,5.55,0.08,0.03
Cumin infused water (Jeere/Zeere ka pani),Beverages,-,100g,9.09,1.86,0.17,0.11
Coco pine cooler,Beverages,-,100g,32.75,5.72,0.56,1
Summer cooler,Beverages,-,100g,22.43,5.43,0.37,0.04
Hot cocoa,Beverages,-,100g,90.1,9.23,3.36,4.56
Cold coffee with ice cream,Sweets,-,100g,67.85,11.24,1.57,2.11
Banana milkshake (Kele milkshake),Beverages,-,100g,65.31,9.15,1.84,2.37
Mango milkshake (Aam milkshake),Beverages,-,100g,56.9,7.23,1.73,2.35
Pineapple milkshake (Ananas milkshake),Beverages,-,100g,55.72,7.62,1.66,2.23
Orange milkshake (Narangi milkshake),Beverages,-,100g,57.42,7.11,1.86,2.52
Egg nog,Beverages,-,100g,97.14,8.15,4.78,5.11
Sweet LaBeveragesi (Meethi laBeveragesi),Beverages,-,100g,35.66,6.51,1.29,0.68
LaBeveragesi (salted),Beverages,-,100g,18.84,1.86,1.35,0.72
Cheese and chilli sandwich,Snacks,-,100g,218.11,27.4,6.8,9.78
Egg sandwich (Ande ka sandwich),Snacks,-,100g,285.96,29.16,8.69,15.8
Cucumber sandwich (Kheere ka sandwich),Snacks,-,100g,188.6,25.77,4.8,8
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),Snacks,-,100g,257.71,29.1,8.2,12.8
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),Snacks,-,100g,243.32,26.92,7.92,12.27
Chicken sandwich,Snacks,-,100g,253.27,25.38,13.12,11.75
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),Snacks,-,100g,291.43,28.54,9.53,16.14
Rainbow sandwich,Snacks,-,100g,272.75,34.26,7.75,12.54
Club sandwich,Snacks,-,100g,235.32,18.51,7.31,15.12
Vegetarian club sandwich,Snacks,-,100g,198.33,19.68,5.45,11.33
Pin wheel sandwich,Snacks,-,100g,311.52,14,8.77,24.93
Carrot apple sandwich (Gajar aur seb ka sandwich),Snacks,-,100g,214.11,29.04,5.3,9.12
